Product ID,Variant ID,Product metafield value at custom.wheel_diameter,Product metafield value at custom.wheel_width,Product metafield value at custom.hub,Product metafield value at global.size,Product metafield value at global.bolt_pattern,Product metafield value at global.offset,Product metafield value at custom.bolt_pattern_2,Product handle,Product title,Product description,Product description without HTML,Product meta title,Product meta description,Product online store URL (Shopify domain),Product online store URL (custom domain),Product tags,Product taxonomy category id,Product taxonomy category name,Product type,Product vendor,Product template suffix,Product status,Product collections,Product created time,Product published time,Product option 1 name,Variant option 1 value,Product option 2 name,Variant option 2 value,Product option 3 name,Variant option 3 value,Variant price,Variant compared price,Variant cost,Variant SKU,Variant Barcode,Variant image,Variant weight,Variant weight unit,Variant taxable,Variant tax code,Variant country Code Of Origin,Variant harmonized system code,Variant inventory Item ID,Variant inventory management (tracking),Variant inventory policy,Variant requires shipping
8.10313E+12,4.41133E+13,,,,,,,,305-nv-bahia-blue-gloss-black-lip,305 | NV | Gloss Bahia Blue - Gloss Black Lip,"<meta charset=""utf-8"">
<div>
<p><span style=""font-weight: 400;""><meta charset=""utf-8"">
<span data-mce-fragment=""1"">Developed i</span><span data-mce-fragment=""1"">n collaboration with Discount Tire, </span><span data-mce-fragment=""1"">this </span><span data-mce-fragment=""1"">Special Edition Bahia Blue Gloss finished with a gloss black outer lip will make your rig stand apart from all others.</span></span></p>
<p><span style=""font-weight: 400;"">The 305 NV Wheel features an iconic 12 window design with a debossed Method logo on either side of the center cap. The lip undercut simulates a true beadlock wheel and has replaceable lip bolts with optional colors available. It boasts a strong 2,500- 3,640 lbs. load rating with heavy duty (HD) 4,500 lbs. applications available.<br></span><span style=""font-weight: 400;""><br><br></span></p>
</div>","Developed in collaboration with Discount Tire, this Special Edition Bahia Blue Gloss finished with a gloss black outer lip will make your rig stand apart from all others. The 305 NV Wheel features an iconic 12 window design with a debossed Method logo on either side of the center cap. The lip undercut simulates a true beadlock wheel and has replaceable lip bolts with optional colors available. It boasts a strong 2,500- 3,640 lbs. load rating with heavy duty (HD) 4,500 lbs. applications available.",,,https://rines-and-wheels.myshopify.com/products/305-nv-bahia-blue-gloss-black-lip,https://www.wheelsbelowretail.com/products/305-nv-bahia-blue-gloss-black-lip,"#laborday2022INFfilter, 2023labordaywheels, 305, 305nv, Bahia Blue, BLUE, blue wheel, FINALPRICE, limited edition, Method, Method Offroad Wheels, Method Race Wheels, method wheels, Methods, mr 305, MR305, mr305nv, Non Beadlock, NOTCLOSEOUTFILTER, NV, nv305, rim, rims, SORT-BLUE, spo-default, spo-disabled, Street Wheels, wheel, WHEELONLYSALEFILTER, Wheels",,,Standard Wheel,METHOD RACE WHEELS,optionB,DRAFT,All Custom Wheels; ALL PRODUCTS; SHOP ALL PRODUCTS; Out Stock; Best selling products (DO NOT DELETE); Result; Method Race Wheels,2023-09-15T12:12:58Z,,Size | Bolt Pattern | Offset/Spacing,"16x8 | 6x5.5 | 0/4.5""",,,,,317.5,,,ZMR30568060600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806767339,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x135 | 0/4.75""",,,,,345,,,ZMR30578516600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806800107,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 5x5 | 0/4.75""",,,,,345,,,ZMR30578550600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-5lug-bahia-blue-black-lip-17x8-5-1000.jpg?v=1694802910,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806832875,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 5x5.5 | 0/4.75""",,,,,345,,,ZMR30578555600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-5lug-bahia-blue-black-lip-17x8-5-1000.jpg?v=1694802910,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806865643,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 5x150 | 0/4.75""",,,,,345,,,ZMR30578558600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-5lug-bahia-blue-black-lip-17x8-5-1000.jpg?v=1694802910,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806898411,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x5.5 | 0/4.75""",,,,,345,,,ZMR30578560600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806931179,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x5.5 | 25/5.7""",,,,,345,,,ZMR30578560625,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806963947,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 8x6.5 | 0/4.75""",,,,,345,,,ZMR30578580600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-8lug-bahia-blue-black-lip-18x9-1000.jpg?v=1694802912,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207806996715,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 8x170 | 0/4.75""",,,,,345,,,ZMR30578587600,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-8lug-bahia-blue-black-lip-18x9-1000.jpg?v=1694802912,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807029483,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 6x135 | 18/5.75""",,,,,410,,,ZMR30589016618,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807062251,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 5x150 | 25/6""",,,,,410,,,ZMR30589058625,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-5lug-bahia-blue-black-lip-17x8-5-1000.jpg?v=1694802910,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807095019,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 6x5.5 | -12/4.5""",,,,,410,,,ZMR30589060612N,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-6lug-bahie-blue-gloss-black-lip-17x8-5-1000.png?v=1694802905,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807127787,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 8x6.5 | 18/5.75""",,,,,410,,,ZMR30589080618,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-8lug-bahia-blue-black-lip-18x9-1000.jpg?v=1694802912,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807160555,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"18x9 | 8x170 | 18/5.75""",,,,,410,,,ZMR30589087618,,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr305-wheel-8lug-bahia-blue-black-lip-18x9-1000.jpg?v=1694802912,0,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807193323,tracked,DENY,Yes
8.10313E+12,4.41133E+13,,,,,,,,407-bahia-blue,407 | UTV Bead Grip | Bahia Blue,"<p><span style=""font-weight: 400;"">The 407 Bead Grip® UTV wheel was developed to endure the rigors of cross country rallies and desert races like the Dakar. </span><span style=""font-weight: 400;"">The hub of the wheel was cut and designed to remove any unnecessary material to reduce weight. It has load ratings that exceed OEM and competitor wheels while being equal or lower in weight. The reduced weight can result in improved acceleration, handling, and fuel efficiency. <br><br></span><span style=""font-weight: 400;""><br></span>Our unique Bahia Blue color, inspired by the coastline of the Baja peninsula, is sure to transform your ride into a show stopper. </p>","The 407 Bead Grip® UTV wheel was developed to endure the rigors of cross country rallies and desert races like the Dakar. The hub of the wheel was cut and designed to remove any unnecessary material to reduce weight. It has load ratings that exceed OEM and competitor wheels while being equal or lower in weight. The reduced weight can result in improved acceleration, handling, and fuel efficiency. Our unique Bahia Blue color, inspired by the coastline of the Baja peninsula, is sure to transform your ride into a show stopper.",,,https://rines-and-wheels.myshopify.com/products/407-bahia-blue,https://www.wheelsbelowretail.com/products/407-bahia-blue,"#laborday2022INFfilter, 14-diameter, 15-diameter, 2022SENDIT, 2023labordaywheels, 407, 4x136-bolt-pattern, 4x156-bolt-pattern, 5x4.5-bolt-pattern, 6-width, 7-width, Bahia Blue, Bead Grip, Bead Grip Technology, BLUE, bolt-pattern-4x136, bolt-pattern-4x156, bolt-pattern-5x4.5, Discontinued, FINALPRICE, Method, Method Offroad Wheels, Method Race Wheels, Method Wheels, Methods, MR407, mrw, Non Beadlock, NOTCLOSEOUTFILTER, Offroad Wheels, positive-13, positive-38, positive-51, rim, rims, SORT-BLUE, UTV, utv series, utv wheel, UTV Wheels, wheel, WHEELONLYSALEFILTER, Wheels",,,UTV Bead Grip,METHOD RACE WHEELS,optionB,DRAFT,All Custom Wheels; ALL PRODUCTS; SHOP ALL PRODUCTS; Out Stock; Best selling products (DO NOT DELETE); Result; Method Race Wheels; Discontinued Items,2023-09-15T12:13:09Z,,Size | Bolt Pattern | Offset/Spacing,14x6 | 4x136 | 38/51,,,,,189,,132.3,MR40746047651,1.91682E+11,,15.8,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807226091,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,14x6 | 4x156 | 38/51,,,,,189,,132.3,MR40746046651,1.91682E+11,,15.47,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807258859,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,15x6 | 4x136 | 51/51,,,,,240,,100,MR40756047651,1.91682E+11,,16.83,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807291627,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,15x6 | 4x156 | 51/51,,,,,240,,100,MR40756046651,1.91682E+11,,16.39,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807324395,tracked,DENY,Yes
,4.41133E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,15x6 | 5x4.5 | 51/51,,,,,240,,168,MR40756012651,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/method-mr407-wheel-5lug-bahia-blue-15x6.jpg?v=1694802918,17.27,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207807357163,tracked,DENY,Yes
8.10317E+12,4.41135E+13,,,,,,,,315-gold-black-lip,315 | Gold - Black Lip,"<meta charset=""utf-8"">
<div>
<p><span style=""font-weight: 400;"">The 315 Standard Wheel features a rugged 12 spoke design with a debossed METHOD logo. It is essentially the street legal version of our 103. The lip undercut simulates a true beadlock wheel </span><span style=""font-weight: 400;"">with extra pockets machined out around the edge for further weight savings. It boasts a strong load rating of 2,500-3,640 lbs.</span></p>
</div>","The 315 Standard Wheel features a rugged 12 spoke design with a debossed METHOD logo. It is essentially the street legal version of our 103. The lip undercut simulates a true beadlock wheel with extra pockets machined out around the edge for further weight savings. It boasts a strong load rating of 2,500-3,640 lbs.",,,https://rines-and-wheels.myshopify.com/products/315-gold-black-lip,https://www.wheelsbelowretail.com/products/315-gold-black-lip,"#laborday2022INFfilter, 10-width, 17-diameter, 20-diameter, 2023labordaywheels, 315, 315gold, 315mrw, 5x5-bolt-pattern, 5x5.5-bolt-pattern, 6x135-bolt-pattern, 6x5.5-bolt-pattern, 8-width, 8.5-width, 8x170-bolt-pattern, 8x180-bolt-pattern, 8x6.5-bolt-pattern, 9-width, BLACK, bolt-pattern-5x5, bolt-pattern-5x5.5, bolt-pattern-6x135, bolt-pattern-6x5.5, bolt-pattern-8x170, bolt-pattern-8x180, bolt-pattern-8x6.5, Discontinued, FINALPRICE, finish_GOLD, GOLD, Gold Wheels, gold315, Matte Black, Method, Method Offroad Wheels, Method Race Wheels, Method Wheels, Methods, mrw, mrw315, negative-18, Non Beadlock, NOTCLOSEOUTFILTER, offroad truck wheels, Offroad Wheels, positive-0, positive-18, positive-25, rim, rims, SORT-GOLD, spo-default, spo-disabled, truck wheels, wheel, WHEELONLYSALEFILTER, Wheels",gid://shopify/TaxonomyCategory/vp-1-4-20-1-1,Automotive Rims & Wheels,Standard Wheel,METHOD RACE WHEELS,optionB,DRAFT,All Custom Wheels; ALL PRODUCTS; SHOP ALL PRODUCTS; Out Stock; Wheels; Newest Products; IN STOCK INVENTORY; Best selling products (DO NOT DELETE); All-products; Result; Method Race Wheels; LAST CHANCE OUTLET SALE 2025; Discontinued Items,2023-09-15T15:07:59Z,,Size | Bolt Pattern | Offset/Spacing,"17x8.5 | 6x135 | 0/4.75""",,,,,387,,270.9,MR31578516100,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/MR315-wheel_gold_3_4_6lug_1000px_u1.jpg?v=1694802920,28.03,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939510507,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 6x5.5 | 0/4.75""",,,,,387,,270.9,MR31578560100,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/MR315-wheel_gold_3_4_6lug_1000px_u1.jpg?v=1694802920,26.75,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939543275,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"17x8.5 | 8x6.5 | 25/5.80""",,,,,409,,272.3,MR31578580125,1.91682E+11,https://cdn.shopify.com/s/files/1/0065/0048/3116/products/MR315-wheel-8lug-gold-black-street-loc-17x85-1000_u1.jpg?v=1694802924,28.76,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939576043,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x9 | 5x5 | 18/5.7""",,,,,419,,293.3,MR31529050118,1.91682E+11,,37.45,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939608811,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x9 | 5x5.5 | 18/5.7""",,,,,482,,293.3,MR31529055118,1.91682E+11,,37.61,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939641579,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x9 | 6x135 | 18/5.7""",,,,,482,,293.3,MR31529016118,1.91682E+11,,38.01,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939674347,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x9 | 6x5.5 | 18/5.7""",,,,,419,,150,MR31529060118,1.91682E+11,,37.18,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939707115,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x9 | 6x5.5 | 0/5""",,,,,419,,293.3,MR31529060100,1.91682E+11,,35.52,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939739883,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 5x5 | -18/4.76""",,,,,503,,307.3,MR31521050118N,1.91682E+11,,42.14,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939772651,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 5x5.5 | -18/4.76""",,,,,503,,307.3,MR31521055118N,1.91682E+11,,41.84,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939805419,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 6x135 | -18/4.76""",,,,,439,,307.3,MR31521016118N,1.91682E+11,,42.74,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939838187,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 6x5.5 | -18/4.76""",,,,,503,,307.3,MR31521060118N,1.91682E+11,,42.12,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939870955,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 8x6.5 | -18/4.76""",,,,,439,,307.3,MR31521080118N,1.91682E+11,,41.18,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939903723,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 8x170 | -18/4.76""",,,,,439,,170,MR31521087118N,1.91682E+11,,41.01,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939936491,tracked,DENY,Yes
,4.41135E+13,,,,,,,,,,,,,,,,,,,,,,,,,,,"20x10 | 8x180 | -18/4.76""",,,,,439,,307.3,MR31521088118N,1.91682E+11,,42.26,POUNDS,Yes,,,,gid://shopify/InventoryItem/46207939969259,tracked,DENY,Yes
