SKU,In_TWG_Feed,In_WP_Feed,TWG_Stock,TWG_MSRP,TWG_DealerCost,Parsed_Size,Parsed_BoltPattern,Parsed_Offset,Parsed_CB,WP_PartNumber,WP_Brand,WP_Stock,Issue_Summary
141-8970B18,Yes,No,65,299.99,210.0,18X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-8970M18,Yes,No,30,321.99,225.4,18X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
141-8981B18,Yes,No,79,299.99,210.0,18X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
141-8981M18,Yes,No,2,321.99,225.4,18X9,8-165.1,18,130.8,,,,Not in Master WP Feed (likely missing technical metadata)
151-2181M19,Yes,No,1,355.99,249.2,20X10,8-165.1,-19,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
151-2950M18,Yes,No,0,371.99,260.4,20X9,5-150,18,110,,,,Not in Master WP Feed (likely missing technical metadata)
151-2970M18,Yes,No,2,371.99,260.4,20X9,8-170,18,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
151-2983M0,Yes,No,0,287.99,201.6,20X9,6-139.7,0,106,,,,Not in Master WP Feed (likely missing technical metadata)
152-2937BM,Yes,No,0,344.99,241.5,20X9,6-139.7,0,106,,,,Not in Master WP Feed (likely missing technical metadata)
152-2937M,Yes,No,1,416.99,291.9,20X9,6-139.7,0,106,,,,Not in Master WP Feed (likely missing technical metadata)
152-2952M,Yes,No,8,416.99,291.9,20X9,5-127,0,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
152-2970BM,Yes,No,1,344.99,241.5,20X9,8-170,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
152-2970M,Yes,No,2,416.99,291.9,20X9,8-170,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
152-2978BM,Yes,No,1,344.99,241.5,20X9,8-180,0,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
152-2978M,Yes,No,0,416.99,291.9,20X9,8-180,0,124.1,,,,Not in Master WP Feed (likely missing technical metadata)
152-2981M,Yes,No,0,416.99,291.9,20X9,8-165.1,0,125.2,,,,Not in Master WP Feed (likely missing technical metadata)
167-2877GBF115,Yes,No,71,444.99,311.5,20X8.25,8-200,115,142,,,,Not in Master WP Feed (likely missing technical metadata)
167-2877GBR192,Yes,No,81,444.99,311.5,20X8.25,8-200,-192,142,,,,Not in Master WP Feed (likely missing technical metadata)
167-2877PF115,Yes,No,12,499.99,350.0,20X8.25,8-200,115,142,,,,Not in Master WP Feed (likely missing technical metadata)
167-2877PR192,Yes,No,38,499.99,350.0,20X8.25,8-200,-192,142,,,,Not in Master WP Feed (likely missing technical metadata)
167-2879GBF115,Yes,No,118,444.99,311.5,20X8.25,8-210,115,154.2,,,,Not in Master WP Feed (likely missing technical metadata)
167-2879GBR192,Yes,No,117,444.99,311.5,20X8.25,8-210,192,154.2,,,,Not in Master WP Feed (likely missing technical metadata)
167-2879PF115,Yes,No,94,499.99,350.0,20X8.25,8-210,115,154.2,,,,Not in Master WP Feed (likely missing technical metadata)
167-2879PR192,Yes,No,94,499.99,350.0,20X8.25,8-210,192,154.2,,,,Not in Master WP Feed (likely missing technical metadata)
167-2881GBF115,Yes,No,62,444.99,311.5,20X8.25,8-165.1,115,121.3,,,,Not in Master WP Feed (likely missing technical metadata)
167-2881GBR192,Yes,No,73,444.99,311.5,20X8.25,8-165.1,-192,121.3,,,,Not in Master WP Feed (likely missing technical metadata)
167-2881PF115,Yes,No,24,499.99,350.0,20X8.25,8-165.1,115,121.3,,,,Not in Master WP Feed (likely missing technical metadata)
167-2881PR192,Yes,No,22,499.99,350.0,20X8.25,8-165.1,-192,121.3,,,,Not in Master WP Feed (likely missing technical metadata)
179-8983MB25,Yes,No,3,294.99,206.5,18X9,6-139.7,25,106,,,,Not in Master WP Feed (likely missing technical metadata)
185-6514LS388,Yes,No,8,0.0,45.79,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
200,Yes,No,119,93.99,61.1,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20009,Yes,No,4,57.99,37.7,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20010,Yes,No,3,1125.0,731.25,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20011,Yes,No,175,1589.99,1033.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20015,Yes,No,0,299.99,195.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20016,Yes,No,150,469.99,305.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20020,Yes,No,55,274.99,178.75,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20021,Yes,No,0,209.99,136.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20023,Yes,No,0,800.0,520.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20024,Yes,No,0,800.0,520.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20025,Yes,No,0,684.99,445.25,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20026,Yes,No,0,903.99,587.6,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
20027,Yes,No,0,819.99,533.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
201,Yes,No,212,82.99,53.95,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2023,Yes,No,178,714.99,464.75,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2024,Yes,No,0,714.99,464.75,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2025,Yes,No,37,659.99,429.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2026,Yes,No,30,809.99,526.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2027,Yes,No,17,809.99,526.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2028962,Yes,No,1999,1.88,0.94,12X1.5,,,,,,,Not in Master WP Feed (likely missing technical metadata)
215-4017LS588UHP,Yes,No,0,0.0,59.51,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
215-4018LANDSAIL,Yes,No,0,0.0,64.91,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
215-4018LS588UHP,Yes,No,3,0.0,64.91,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
225-3520LS588UHP,Yes,No,0,0.0,81.19,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
225-4018LS388,Yes,No,1,0.0,65.84,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
225-5017LS388,Yes,No,5,0.0,72.14,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
225-5517LS388UHP,Yes,No,0,0.0,79.04,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
235-6047LANDSAIL,Yes,No,0,0.0,68.37,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
245-3022LS588UHP,Yes,No,0,0.0,89.69,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
245-4018LS588UHP,Yes,No,1,0.0,78.24,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
245-7017LSCLX11,Yes,No,0,0.0,104.05,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
255-3026LS588SUV,Yes,No,2,0.0,149.83,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
255-5019LEXANI,Yes,No,0,0.0,115.79,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
255-5519LS588SUV,Yes,No,0,0.0,131.45,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-3019LS588UHP,Yes,No,16,0.0,99.94,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-3520LS588UHP,Yes,No,6,0.0,118.91,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-3522LS588SUV,Yes,No,1,0.0,109.48,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-4520LS588SUV,Yes,No,11,0.0,125.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-5020AMP/CA,Yes,No,4,179.99,185.99,,0-10,,,,,,Not in Master WP Feed (likely missing technical metadata)
265-7017AMP/RTSL,Yes,No,0,204.0,132.6,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
272-87010P2D,Yes,No,0,73.5,56.6,18X7.5,4-100,,,,,,Not in Master WP Feed (likely missing technical metadata)
275-3020LS588UHP,Yes,No,0,0.0,103.94,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
275-4522LS588SUV,Yes,No,1,0.0,145.53,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2800,Yes,No,19,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2800L,Yes,No,12,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2800XL,Yes,No,1,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2801,Yes,No,0,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2802,Yes,No,0,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2804,Yes,No,0,0.83,0.42,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
285-3522LS588SUV,Yes,No,0,0.0,129.2,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
285-5520AMP/RTE,Yes,No,464,306.0,208.08,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
285-6018LS588SUV,Yes,No,8,0.0,143.43,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
285-7017AMP/RTC,Yes,No,7,265.0,172.25,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2900,Yes,No,398,1.47,0.74,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2900B,Yes,No,1614,1.77,0.89,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2902,Yes,No,30892,0.73,0.37,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2903,Yes,No,19730,0.56,0.28,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2903-S,Yes,No,21923,0.26,0.13,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2904,Yes,No,29442,0.46,0.23,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2905,Yes,No,289,0.64,0.32,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2906,Yes,No,13,0.56,0.28,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2907,Yes,No,2277,0.97,0.49,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2911,Yes,No,0,1.23,0.62,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2913,Yes,No,799,1.45,0.73,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2913B,Yes,No,365,2.37,1.19,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2916,Yes,No,400,2.11,1.06,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
295-2524LS588SUV,Yes,No,0,0.0,172.14,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
295-3020LS588UHP,Yes,No,1,0.0,134.74,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
2960,Yes,No,1225,1.92,0.96,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
30042,Yes,No,1,120.99,78.65,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
30043,Yes,No,43,120.99,78.65,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
305-4522LS588SUV,Yes,No,32,0.0,147.46,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
305-5520AMP/CA,Yes,No,1,230.99,237.99,,0-10,,,,,,Not in Master WP Feed (likely missing technical metadata)
305-5520AMP/RTF,Yes,No,210,362.0,235.3,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
305-6018AMP/CA,Yes,No,1,230.99,222.99,,8-10,,,,,,Not in Master WP Feed (likely missing technical metadata)
315-7017AMP/CA,Yes,No,2,227.99,234.99,,7-10,,,,,,Not in Master WP Feed (likely missing technical metadata)
3203,Yes,No,337,19.99,13.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
3204,Yes,No,393,19.99,13.0,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
3208-22932GB35,Yes,No,0,421.99,295.4,22X9,6-120,35,66.9,,,,Not in Master WP Feed (likely missing technical metadata)
3208-22932GS35,Yes,No,0,421.99,295.4,22X9,6-120,35,66.9,,,,Not in Master WP Feed (likely missing technical metadata)
3208-22936GB25,Yes,No,0,421.99,295.4,22X9,6-135,25,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3208-22936GS25,Yes,No,0,421.99,295.4,22X9,6-135,25,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3208-24136GB30,Yes,No,0,510.99,357.7,24X10,6-135,30,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3208-24183GB25,Yes,No,0,510.99,357.7,24X10,6-139.7,25,106.1,,,,Not in Master WP Feed (likely missing technical metadata)
3208-2932GB35,Yes,No,0,355.99,249.2,20X9,6-120,35,66.9,,,,Not in Master WP Feed (likely missing technical metadata)
3208-2932GS35,Yes,No,0,355.99,249.2,20X9,6-120,35,66.9,,,,Not in Master WP Feed (likely missing technical metadata)
3208-2936GB25,Yes,No,0,355.99,249.2,20X9,6-135,25,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3208-2936GS25,Yes,No,0,355.99,249.2,20X9,6-135,25,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3216,Yes,No,103,31.99,20.8,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
3217,Yes,No,492,31.99,20.8,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
3222-4603B,Yes,No,0,166.99,116.9,14X6,5-100,,,,,,Not in Master WP Feed (likely missing technical metadata)
3222-4603S,Yes,No,0,166.99,116.9,14X6,5-100,,,,,,Not in Master WP Feed (likely missing technical metadata)
3260-7701FMB,Yes,No,0,249.99,175.0,17X7.5,4-100,42,67.1,,,,Not in Master WP Feed (likely missing technical metadata)
3270-7765B,Yes,No,0,294.99,206.5,17X7.5,5-114.3,40,72.62,,,,Not in Master WP Feed (likely missing technical metadata)
3276-2845G35-BALL,Yes,No,0,377.99,264.6,20X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-2845GB35-BALL,Yes,No,0,377.99,264.6,20X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-7845G35-BALL,Yes,No,0,277.99,194.6,17X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-7845GB35-BALL,Yes,No,0,277.99,194.6,17X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-8844G35,Yes,No,0,299.99,210.0,18X8,5-100,35,56.1,,,,Not in Master WP Feed (likely missing technical metadata)
3276-8845G35-BALL,Yes,No,0,299.99,210.0,18X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-8845GB35-BALL,Yes,No,0,299.99,210.0,18X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-9845G35-BALL,Yes,No,0,327.99,229.6,19X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3276-9845GB35-BALL,Yes,No,0,327.99,229.6,19X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-2936TM30,Yes,No,0,369.99,259.0,20X9,6-135,30,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-2945GB35-BALL,Yes,No,0,377.99,264.6,20X9,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-2962GB35,Yes,No,0,377.99,264.6,20X9,6-132,35,74.5,,,,Not in Master WP Feed (likely missing technical metadata)
3279-2983TM30,Yes,No,0,369.99,259.0,20X9,6-139.7,30,106.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-7810GB35,Yes,No,0,277.99,194.6,17X8,5-110,35,65.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-7845GB35-BALL,Yes,No,0,277.99,194.6,17X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-7864GB35,Yes,No,0,277.99,194.6,17X8,5-115,35,70.3,,,,Not in Master WP Feed (likely missing technical metadata)
3279-7865GB64-BALL,Yes,No,0,277.99,194.6,17X8,5-114.3,35,64.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-7865MG35,Yes,No,0,277.99,194.6,17X8,5-114.3,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8810GB35,Yes,No,0,299.99,210.0,18X8,5-110,35,65.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8845GB35-BALL,Yes,No,0,299.99,210.0,18X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8845MG35,Yes,No,0,299.99,210.0,18X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8845MG35-BALL,Yes,No,0,299.99,210.0,18X8,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8864GB35,Yes,No,0,299.99,210.0,18X8,5-115,35,70.3,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8865GB64-BALL,Yes,No,0,299.99,210.0,18X8,5-114.3,35,64.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8865MG35,Yes,No,0,299.99,210.0,18X8,5-114.3,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8865MG60,Yes,No,0,299.99,210.0,18X8,5-114.3,35,60.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8865MG64-BALL,Yes,No,0,299.99,210.0,18X8,5-114.3,35,64.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-8865MG67,Yes,No,0,299.99,210.0,18X8,5-114.3,35,67.1,,,,Not in Master WP Feed (likely missing technical metadata)
3279-9845GB35-BALL,Yes,No,0,327.99,229.6,19X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3279-9864GB35OE,Yes,No,0,327.99,229.6,19X8.5,5-115,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3279-9865GB64,Yes,No,0,327.99,229.6,19X8.5,5-114.3,35,70.2,,,,Not in Master WP Feed (likely missing technical metadata)
3279-9865MG35,Yes,No,0,327.99,229.6,19X8.5,5-114.3,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3279-9865MG64,Yes,No,0,327.99,229.6,19X8.5,5-114.3,35,70.2,,,,Not in Master WP Feed (likely missing technical metadata)
3280-7814GB35,Yes,No,0,0.0,194.6,17X8,5-108,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3280-7814S35,Yes,No,0,0.0,194.6,17X8,5-108,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3280-8809GB30,Yes,No,0,0.0,210.0,18X8.5,5-112,30,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3280-8809S30,Yes,No,0,0.0,210.0,18X8.5,5-112,30,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3280-8814GB35,Yes,No,0,0.0,210.0,18X8.5,5-108,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3280-8814S35,Yes,No,0,0.0,210.0,18X8.5,5-108,35,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
33-125020AMP/RTE,Yes,No,0,337.0,219.05,33X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
33-125022AMP/RTE,Yes,No,310,354.0,230.1,33X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
33-125022AMP/RTF,Yes,No,6,376.0,244.4,33X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
33-135026AMP/CM2F,Yes,No,34,470.0,319.6,33X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125017AMP/RTE,Yes,No,0,352.0,239.36,35X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125020AMP/RTE,Yes,No,142,352.0,228.8,35X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125020AMP/RTF,Yes,No,187,372.0,241.8,35X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125022AMP/CA,Yes,No,1,305.99,294.99,35X12.5,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125022AMP/RTE,Yes,No,118,387.0,251.55,35X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-125022AMP/RTF,Yes,No,97,416.0,270.4,35X12.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-135024AMP/RTE,Yes,No,16,450.0,306.0,35X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
35-135024AMP/RTF,Yes,No,182,466.0,316.88,35X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2912GB35,Yes,No,0,0.0,255.5,20X9,5-120,35,72.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2912S35,Yes,No,0,0.0,255.5,20X9,5-120,35,72.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2945GB35,Yes,No,0,0.0,255.5,20X9,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2945S35,Yes,No,0,0.0,255.5,20X9,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2965GB40,Yes,No,0,0.0,255.5,20X9,5-114.3,40,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3505-2965S40,Yes,No,0,0.0,255.5,20X9,5-114.3,40,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8812GB35,Yes,No,0,0.0,210.0,18X8.5,5-120,35,72.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8812S35,Yes,No,0,0.0,210.0,18X8.5,5-120,35,72.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8845GB35,Yes,No,0,0.0,210.0,18X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8845S35,Yes,No,0,0.0,210.0,18X8.5,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8865GB40,Yes,No,0,0.0,210.0,18X8.5,5-114.3,40,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3505-8865S40,Yes,No,0,0.0,210.0,18X8.5,5-114.3,40,72.6,,,,Not in Master WP Feed (likely missing technical metadata)
3507-21512GB35,Yes,No,46,374.99,262.5,20X10.5,5-120,35,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-21545GB40,Yes,No,58,374.99,262.5,20X10.5,5-112,40,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3507-21564GB25,Yes,No,28,374.99,262.5,20X10.5,5-115,25,71.5,,,,Not in Master WP Feed (likely missing technical metadata)
3507-21565GB45,Yes,No,47,374.99,262.5,20X10.5,5-114.3,45,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-2912GB35,Yes,No,71,364.99,255.5,20X9,5-120,35,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-2931GB32,Yes,No,0,364.99,255.5,20X9,5-108,32,63.5,,,,Not in Master WP Feed (likely missing technical metadata)
3507-2945GB35,Yes,No,75,364.99,255.5,20X9,5-112,35,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3507-29512GB15,Yes,No,0,377.99,264.6,20X9.5,5-120,15,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-29545GB25,Yes,No,0,377.99,264.6,20X9.5,5-112,25,66.56,,,,Not in Master WP Feed (likely missing technical metadata)
3507-29564GB18,Yes,No,0,377.99,264.6,20X9.5,5-115,18,72.62,,,,Not in Master WP Feed (likely missing technical metadata)
3507-29565GB30,Yes,No,0,377.99,264.6,20X9.5,5-114.3,30,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-2964GB40,Yes,No,0,366.99,256.9,20X9,5-115,40,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3507-2965GB40,Yes,No,30,366.99,256.9,20X9,5-114.3,40,74.1,,,,Not in Master WP Feed (likely missing technical metadata)
3610-22937GB20,Yes,No,36,449.99,315.0,22X9,6-135,20,87.1,,,,Not in Master WP Feed (likely missing technical metadata)
3610-22988GB20,Yes,No,1,449.99,315.0,22X9,5-115,20,78.1,,,,Not in Master WP Feed (likely missing technical metadata)
37-135024AMP/RTE,Yes,No,16,509.0,330.85,37X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
37-135024AMP/RTF,Yes,No,115,530.0,344.5,37X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
38-135024AMP/CM2F,Yes,No,0,649.0,421.85,38X13.50,,,,,,,Not in Master WP Feed (likely missing technical metadata)
4002,Yes,No,4787,28.3,14.15,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
40022,Yes,No,136,189.99,123.5,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
40032,Yes,No,31,264.99,172.25,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
40050,Yes,No,39,253.0,164.45,,,,,,,,Not in Master WP Feed (likely missing technical metadata)
